dataset_name,density,ref_density,ref_bipartite_percent,ref_bipartivity,gen_density,gen_bipartite_percent,gen_bipartivity,path,num_samples,mmd,memorized,diversity
8N_ER_Dense,Dense,0.7618,0.0000,1.0000,0.7468,0.0000,0.5658,results/evaluation_results/8N_ER/run_20250606/Dense/samplesER8ND.npy,512,0.001825647964877275,0.5879,0.4141
8N_ER_Medium,Medium,0.4420,0.5000,1.0000,0.4490,3.1250,0.7777,results/evaluation_results/8N_ER/run_20250606/Medium/samplesER8NM.npy,512,-0.0007084261806675762,0.0234,0.9238
8N_ER_Sparse,Sparse,0.2207,51.5000,1.0000,0.2502,42.7734,0.9347,results/evaluation_results/8N_ER/run_20250606/Sparse/samplesER8NS.npy,512,0.002976293925466278,0.5996,0.4219
8N_ER_Dense,Dense,0.7618,0.0000,1.0000,0.6630,0.0000,0.6074,results/evaluation_results/8N_ER/run_20250709_142102/Dense/samples_20250716.npy,512,0.02191276260663122,0.2715,0.7715
8N_ER_Medium,Medium,0.4420,0.5000,1.0000,0.4648,1.9531,0.7645,results/evaluation_results/8N_ER/run_20250709_142102/Medium/samples_20250716.npy,512,0.0004137053584756245,0.0352,0.9453
8N_ER_Sparse,Sparse,0.2207,51.5000,1.0000,0.3138,25.7812,0.8928,results/evaluation_results/8N_ER/run_20250709_142102/Sparse/samples_20250716.npy,512,0.01808063846616903,0.3164,0.6484
8N_ER_Dense,Dense,0.7618,0.0000,1.0000,0.5792,0.0000,0.6657,results/evaluation_results/8N_ER/run_old_1/Dense/samples.npy,512,0.08906898939334551,0.0645,0.8926
8N_ER_Medium,Medium,0.4420,0.5000,1.0000,0.4514,1.9531,0.7775,results/evaluation_results/8N_ER/run_old_1/Medium/samples.npy,512,-0.00018308054506843696,0.0332,0.9473
8N_ER_Sparse,Sparse,0.2207,51.5000,1.0000,0.2610,42.7734,0.9362,results/evaluation_results/8N_ER/run_old_1/Sparse/samples.npy,512,0.015420149326852983,0.5332,0.4668
8N_Bipartite_Dense,Dense,0.3110,100.0000,1.0000,0.2990,45.5078,0.9398,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,0.005460786060204503,0.3750,0.5605
8N_Bipartite_Medium,Medium,0.2887,100.0000,1.0000,0.3486,15.2344,0.8812,results/evaluation_results/8N_Bipartite/run_old_2/Medium/samples.npy,512,0.05206492449628253,0.1484,0.8203
8N_Bipartite_Sparse,Sparse,0.2256,100.0000,1.0000,0.2358,68.5547,0.9694,results/evaluation_results/8N_Bipartite/run_old_2/Sparse/samples.npy,512,-0.0005195579443606491,0.6250,0.3379
8N_Bipartite_Dense,Dense,0.3110,100.0000,1.0000,0.3076,44.5312,0.9351,results/evaluation_results/8N_Bipartite/run_old_3/Dense/samples.npy,512,0.004523017482249925,0.3770,0.5410
8N_Bipartite_Medium,Medium,0.2887,100.0000,1.0000,0.3456,13.0859,0.8837,results/evaluation_results/8N_Bipartite/run_old_3/Medium/samples.npy,512,0.057910428750361564,0.1289,0.7539
8N_Bipartite_Sparse,Sparse,0.2256,100.0000,1.0000,0.2208,70.7031,0.9728,results/evaluation_results/8N_Bipartite/run_old_3/Sparse/samples.npy,256,0.008494908464840356,0.6445,0.3867
8N_Bipartite_Dense,Dense,0.3110,100.0000,1.0000,0.3820,14.6484,0.8592,results/evaluation_results/8N_Bipartite/run_20250709_142105/Dense/samples_20250716.npy,512,0.03002978157659486,0.1309,0.8145
8N_Bipartite_Medium,Medium,0.2887,100.0000,1.0000,0.3732,17.5781,0.8654,results/evaluation_results/8N_Bipartite/run_20250709_142105/Medium/samples_20250716.npy,512,0.03419747031800968,0.1699,0.8516
8N_Bipartite_Sparse,Sparse,0.2256,100.0000,1.0000,0.2937,31.8359,0.9180,results/evaluation_results/8N_Bipartite/run_20250709_142105/Sparse/samples_20250716.npy,512,0.016755457399185603,0.2695,0.6055
8N_Bipartite_Dense,Dense,0.3110,100.0000,1.0000,0.3742,16.2109,0.8686,results/evaluation_results/8N_Bipartite/run_20250708_220824/Dense/samples_20250716.npy,512,0.02870660240415368,0.1426,0.8047
8N_Bipartite_Medium,Medium,0.2887,100.0000,1.0000,0.3707,14.2578,0.8631,results/evaluation_results/8N_Bipartite/run_20250708_220824/Medium/samples_20250716.npy,512,0.03136812972318137,0.1348,0.8535
8N_Bipartite_Sparse,Sparse,0.2256,100.0000,1.0000,0.3050,30.2734,0.9102,results/evaluation_results/8N_Bipartite/run_20250708_220824/Sparse/samples_20250716.npy,512,0.02275186589100109,0.2598,0.6016
8N_Bipartite_Dense,Dense,0.3110,100.0000,1.0000,0.3540,19.5312,0.8828,results/evaluation_results/8N_Bipartite/run_20250714_104340/Dense/samples_20250716.npy,512,0.029633603283810817,0.1738,0.7344
8N_Bipartite_Medium,Medium,0.2887,100.0000,1.0000,0.3567,17.7734,0.8733,results/evaluation_results/8N_Bipartite/run_20250714_104340/Medium/samples_20250716.npy,512,0.03223134684833928,0.1719,0.8105
8N_Bipartite_Sparse,Sparse,0.2256,100.0000,1.0000,0.3039,33.5938,0.9159,results/evaluation_results/8N_Bipartite/run_20250714_104340/Sparse/samples_20250716.npy,512,0.02454939771259257,0.2812,0.5977
8N_Bipartite_Dense,Dense,0.3110,100.0000,1.0000,0.2788,34.9609,0.9267,results/evaluation_results/8N_Bipartite/run_20250715_165138/Dense/samples_20250716.npy,512,0.0407702297397643,0.2578,0.5195
8N_Bipartite_Medium,Medium,0.2887,100.0000,1.0000,0.3066,31.6406,0.9161,results/evaluation_results/8N_Bipartite/run_20250715_165138/Medium/samples_20250716.npy,512,0.029999819097925706,0.3105,0.6309
8N_Bipartite_Sparse,Sparse,0.2256,100.0000,1.0000,0.2539,48.6328,0.9376,results/evaluation_results/8N_Bipartite/run_20250715_165138/Sparse/samples_20250716.npy,512,0.01623041919166157,0.4551,0.4219
8N_Bipartite_Dense,Dense,0.3110,100.0000,1.0000,0.4598,2.5391,0.7669,results/evaluation_results/8N_Bipartite/run_old_1/Dense/samples.npy,512,0.11169100693539213,0.0215,0.9355
8N_Bipartite_Medium,Medium,0.2887,100.0000,1.0000,0.4934,1.5625,0.7392,results/evaluation_results/8N_Bipartite/run_old_1/Medium/samples.npy,512,0.15469901553376647,0.0156,0.9395
8N_Bipartite_Sparse,Sparse,0.2256,100.0000,1.0000,0.4172,6.2500,0.8085,results/evaluation_results/8N_Bipartite/run_old_1/Sparse/samples.npy,512,0.1492885196054406,0.0449,0.9141
